INFO:0 seconds: server-8 goes online
INFO:0 seconds: server-7 goes online
INFO:0 seconds: server-0 goes online
INFO:0 seconds: server-1 goes online
INFO:0 seconds: server-9 goes online
INFO:0 seconds: client-0 goes online
INFO:0 seconds: server-4 goes online
INFO:0 seconds: server-2 goes online
INFO:0 seconds: server-3 goes online
INFO:0 seconds: server-5 goes online
INFO:0 seconds: server-6 goes online
INFO:4 minutes and 28.44 seconds: BlockBackupComplete from client-0 to server-0
INFO:4 minutes and 28.44 seconds: client-0: 10 local blocks, 1 backed up blocks, 0 remote blocks held
INFO:4 minutes and 28.44 seconds: server-0: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:8 minutes and 56.87 seconds: BlockBackupComplete from client-0 to server-1
INFO:8 minutes and 56.87 seconds: client-0: 10 local blocks, 2 backed up blocks, 0 remote blocks held
INFO:8 minutes and 56.87 seconds: server-1: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:13 minutes and 25.31 seconds: BlockBackupComplete from client-0 to server-2
INFO:13 minutes and 25.31 seconds: client-0: 10 local blocks, 3 backed up blocks, 0 remote blocks held
INFO:13 minutes and 25.31 seconds: server-2: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:17 minutes and 53.74 seconds: BlockBackupComplete from client-0 to server-3
INFO:17 minutes and 53.74 seconds: client-0: 10 local blocks, 4 backed up blocks, 0 remote blocks held
INFO:17 minutes and 53.74 seconds: server-3: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:22 minutes and 22.18 seconds: BlockBackupComplete from client-0 to server-4
INFO:22 minutes and 22.18 seconds: client-0: 10 local blocks, 5 backed up blocks, 0 remote blocks held
INFO:22 minutes and 22.18 seconds: server-4: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:26 minutes and 50.61 seconds: BlockBackupComplete from client-0 to server-5
INFO:26 minutes and 50.61 seconds: client-0: 10 local blocks, 6 backed up blocks, 0 remote blocks held
INFO:26 minutes and 50.61 seconds: server-5: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:31 minutes and 19.05 seconds: BlockBackupComplete from client-0 to server-6
INFO:31 minutes and 19.05 seconds: client-0: 10 local blocks, 7 backed up blocks, 0 remote blocks held
INFO:31 minutes and 19.05 seconds: server-6: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:35 minutes and 47.48 seconds: BlockBackupComplete from client-0 to server-7
INFO:35 minutes and 47.48 seconds: client-0: 10 local blocks, 8 backed up blocks, 0 remote blocks held
INFO:35 minutes and 47.48 seconds: server-7: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:40 minutes and 15.92 seconds: BlockBackupComplete from client-0 to server-8
INFO:40 minutes and 15.92 seconds: client-0: 10 local blocks, 9 backed up blocks, 0 remote blocks held
INFO:40 minutes and 15.92 seconds: server-8: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:44 minutes and 44.35 seconds: BlockBackupComplete from client-0 to server-9
INFO:44 minutes and 44.35 seconds: client-0: 10 local blocks, 10 backed up blocks, 0 remote blocks held
INFO:44 minutes and 44.35 seconds: server-9: 0 local blocks, 0 backed up blocks, 1 remote blocks held
INFO:6 hours, 35 minutes and 16.47 seconds: client-0 goes offline
INFO:1 day, 8 hours and 5 minutes: client-0 goes online
INFO:1 day, 15 hours and 21 minutes: server-2 goes offline
INFO:1 day, 16 hours and 8 minutes: server-2 goes online
INFO:2 days, 10 hours and 24 minutes: client-0 goes offline
INFO:3 days, 2 hours and 14 minutes: client-0 goes online
INFO:3 days, 3 hours and 29 minutes: client-0 goes offline
INFO:3 days, 13 hours and 19 minutes: client-0 goes online
INFO:3 days, 16 hours and 26 minutes: client-0 goes offline
INFO:5 days, 6 hours and 3 minutes: client-0 goes online
INFO:5 days, 11 hours and 11 minutes: client-0 goes offline
INFO:6 days, 2 hours and 47 minutes: client-0 goes online
INFO:6 days, 4 hours and 25 minutes: client-0 goes offline
INFO:6 days, 4 hours and 32 minutes: client-0 goes online
INFO:6 days, 6 hours and 30 minutes: client-0 goes offline
INFO:6 days, 10 hours and 9 minutes: client-0 goes online
INFO:6 days, 14 hours and 21 minutes: client-0 goes offline
INFO:6 days, 20 hours and 59 minutes: client-0 goes online
INFO:6 days, 21 hours and 21 minutes: client-0 goes offline
INFO:1 week, 1 day and 5 hours: client-0 goes online
INFO:1 week, 2 days and 23 hours: server-8 goes offline
INFO:1 week, 2 days and 23 hours: server-8 goes online
INFO:1 week, 3 days and 1 hour: client-0 goes offline
INFO:1 week, 3 days and 10 hours: client-0 goes online
INFO:1 week, 4 days and 10 hours: client-0 goes offline
INFO:1 week, 5 days and 16 hours: client-0 goes online
INFO:1 week, 5 days and 16 hours: client-0 goes offline
INFO:2 weeks, 1 day and 13 minutes: client-0 goes online
INFO:2 weeks, 1 day and 1 hour: client-0 goes offline
INFO:2 weeks, 1 day and 15 hours: server-8 goes offline
INFO:2 weeks, 1 day and 18 hours: server-8 goes online
INFO:2 weeks, 1 day and 22 hours: client-0 goes online
INFO:2 weeks, 2 days and 16 hours: client-0 goes offline
INFO:2 weeks, 3 days and 15 hours: client-0 goes online
INFO:2 weeks, 3 days and 20 hours: client-0 goes offline
INFO:2 weeks, 3 days and 21 hours: client-0 goes online
INFO:2 weeks, 4 days and 7 hours: client-0 goes offline
INFO:2 weeks, 5 days and 19 hours: client-0 goes online
INFO:2 weeks, 5 days and 22 hours: client-0 goes offline
INFO:2 weeks, 6 days and 2 hours: client-0 goes online
INFO:2 weeks, 6 days and 18 hours: client-0 goes offline
INFO:3 weeks, 7 minutes and 0.86 seconds: client-0 goes online
INFO:3 weeks, 17 hours and 25 minutes: client-0 goes offline
INFO:3 weeks, 23 hours and 18 minutes: client-0 goes online
INFO:3 weeks, 1 day and 2 hours: client-0 goes offline
INFO:3 weeks, 1 day and 14 hours: client-0 goes online
INFO:3 weeks, 3 days and 8 hours: client-0 goes offline
INFO:3 weeks, 5 days and 24 minutes: client-0 goes online
INFO:3 weeks, 5 days and 6 hours: client-0 goes offline
INFO:3 weeks, 5 days and 9 hours: client-0 goes online
INFO:3 weeks, 5 days and 18 hours: client-0 goes offline
INFO:3 weeks, 6 days and 42 minutes: client-0 goes online
INFO:3 weeks, 6 days and 1 hour: client-0 goes offline
INFO:3 weeks, 6 days and 6 hours: client-0 goes online
INFO:3 weeks, 6 days and 6 hours: client-0 goes offline
INFO:3 weeks, 6 days and 19 hours: server-2 goes offline
